Estado,Ano,Mês,Precipitação Total (mm),Pressão atmosférica média (mB),Radiação global média (Kj/m²),Temperatura média do ar (°C),Temperatura máxima (°C),Temperatura mínima (°C),Umidade relativa média (%),Velocidade média do vento (m/s)
PR,2008,7,764.2,953.3557628979144,1220.7242626599889,17.68319881190676,32.6,-2.3,69.60501972960735,2.2853748305030024
PR,2008,8,3011.8,949.8069556996219,1207.0967613485532,18.469070772555376,34.7,-1.7,72.72565176279886,2.490342405618964
PR,2008,9,1775.6,950.9034992171013,1401.6120711244678,17.551555585812512,38.5,-1.9,68.66805262081658,2.754384531590414
PR,2008,10,4326.6,948.8393735264399,1274.7328271028036,21.183462445267768,37.8,5.3,76.7202048103483,2.7198989558774
PR,2008,11,2670.4,947.3887428101889,1581.8950739489926,21.76652287044645,35.1,9.6,73.17337907375644,2.7280471103807176
PR,2008,12,1680.2,945.7521885290889,1758.687100456621,23.0015779363337,38.4,3.4,67.28635426295953,2.448257409440176
PR,2009,1,4083.6,947.0201901721266,1415.1312900274474,22.404997223764575,37.2,8.0,78.04865097588979,2.3941768461965576
PR,2009,2,3869.6,947.3508009655476,1379.627512562814,23.694060419866872,36.2,9.8,79.1571113979801,1.9135908126691537
PR,2009,3,1374.0,946.4148117783699,1413.9238566429347,23.544264535082327,39.1,8.2,73.44068162208801,1.7569583931133428
PR,2009,4,927.6,949.3104108244531,1263.8656427465153,21.35124789680314,35.1,2.3,70.13725924286031,1.8124298934380259
PR,2009,5,2390.2,949.7076342281879,924.1620451778709,18.34133109619687,34.0,-1.7,78.82162281346464,1.928880033557047
PR,2009,6,1615.6,950.7740261682243,887.7242384492057,14.244052336448599,29.2,-5.3,78.95087336244542,1.9887476635514019
PR,2009,7,2675.4,949.1571706028589,786.9217045119434,15.239045991298944,29.4,-4.1,82.9877155873739,1.9248290863890616
PR,2009,8,1581.0,949.9463583315323,1119.6988241582042,17.48110366688279,33.8,0.3,73.8287250965836,2.328902816799942
PR,2009,9,3149.0,948.2305482041588,974.1993485342019,19.080219281663517,36.3,1.5,79.09614926558157,2.2929678638941398
PR,2009,10,3990.2,946.5984990066955,1250.2527512395695,20.58963284526525,35.1,7.7,77.601083172147,2.299771907880215
PR,2009,11,3320.6,944.4722603719599,1323.5475912067352,24.217868383404863,41.7,10.9,77.56003016591252,2.2069384835479258
PR,2009,12,3955.2,945.3776396221173,1372.5752370329058,23.5100930814115,35.3,7.9,79.85950776443012,1.9737149208113365
PR,2010,1,3750.0,945.3394428592882,1247.4497567920275,23.589694543297746,35.4,11.8,82.8270830064334,1.901408659549229
PR,2010,2,2299.2,945.829419160171,1356.2399115533444,24.471216983460874,39.6,11.7,78.70013060513713,1.9077511725499878
