Estado,Precipitacao Total,Pressao atmosferica media,Radiacao global media,Temperatura media do ar,Temperatura maxima,Temperatura minima,Umidade relativa media,Velocidade media do vento,Data
DF,6.6000000000000005,894.4821236559139,1458.729838709677,20.15786290322581,29.7,7.4,67.21505376344086,1.8740591397849464,2014-05
DF,14.2,895.815,1364.8055555555557,19.205347222222223,28.7,7.7,66.36875,1.9259722222222224,2014-06
DF,8.200000000000001,897.5932795698925,1414.3855421686746,18.776881720430108,29.2,7.8,60.17943548387097,2.1886424731182794,2014-07
DF,0.0,896.1486559139785,1684.8066666666666,20.8130376344086,33.1,7.5,44.08266129032258,2.322849462365592,2014-08
DF,22.6,894.22875,1767.706989247312,23.474722222222223,34.0,10.5,44.75486111111111,2.600625,2014-09
DF,273.8,895.9202077922077,1642.41975308642,23.68483116883117,36.1,11.0,50.98961038961039,2.595012987012987,2014-10
DF,639.2,895.7751394052045,1335.6979591836734,22.00771375464684,32.1,14.3,75.58224907063197,1.9557880055788004,2014-11
DF,936.6,896.4154467894027,1268.8921417565484,21.402334979793444,33.3,13.1,78.33722496632241,2.175258194881006,2014-12
DF,239.4,897.3988703117939,1732.0411392405065,22.9483958427474,33.7,13.0,65.48486217803887,2.002125734961556,2015-01
DF,470.4,896.9398406374502,1473.601793721973,21.90597609561753,32.2,11.9,73.7753984063745,2.233864541832669,2015-02
DF,875.0,896.9577445652174,1190.027731092437,20.99791666666667,31.2,13.3,83.50815217391305,1.7128344671201814,2015-03
DF,714.8,895.6725678733033,1286.897389738974,21.70678123548537,30.9,15.3,81.5276358569438,1.69684161634928,2015-04
DF,102.4,895.2762096774194,1312.049955396967,20.06098109810981,29.8,10.7,76.86138613861387,2.1684518451845185,2015-05
DF,0.0,899.8199893673577,1421.0158434296366,19.33647331786543,29.2,9.3,66.83062645011601,2.48524361948956,2015-06
DF,4.2,900.2099865047234,1438.4460431654677,19.880071974808818,30.0,8.0,58.89563652721547,2.390238416554206,2015-07
DF,0.0,899.421261682243,1743.5758401453224,21.223831775700933,32.8,7.0,46.029439252336445,2.743785046728972,2015-08
DF,59.4,897.0917203767972,1695.210275927688,24.586911254338126,36.2,10.9,44.00247892910263,2.3278135845314822,2015-09
DF,244.6,896.873710183939,1676.501628664495,25.33472409152086,37.0,12.6,46.99282189322566,2.410841205578048,2015-10
DF,478.2,895.5620111731844,1484.857485988791,23.622998137802607,35.8,14.0,67.4953445065177,2.012871287128713,2015-11
DF,489.0,897.2500900090009,1545.393568147014,23.23519351935193,33.6,15.8,69.45184518451845,1.9909954751131225,2015-12
DF,1114.0,895.7251915277152,1193.2371541501975,21.738666065795403,32.5,16.6,84.18071203244705,2.2095454545454545,2016-01
DF,257.0,897.4898892633606,1737.4417777777778,23.1354357246028,32.3,13.9,70.01251805488685,1.9558497833413573,2016-02
DF,363.4,898.0035418583257,1503.6385336743392,22.79921803127875,31.9,15.4,73.48942042318308,1.9150413983440664,2016-03
DF,14.6,897.4873287671234,1692.3747645951037,23.147504892367905,32.9,13.9,59.94373776908024,2.1602350636630754,2016-04
DF,33.2,899.043528841493,1494.4819277108434,21.938730004847308,31.9,10.4,61.066408143480366,1.932541222114452,2016-05
DF,2.0,900.7454883720932,1411.8832252085265,19.98539534883721,32.1,9.2,58.77069767441861,2.1509767441860466,2016-06
DF,0.0,900.175900900901,1534.5256988277729,20.425585585585587,31.2,7.8,50.126576576576575,2.3610810810810814,2016-07
DF,39.4,899.2466756513927,1564.0399290150842,21.80741239892184,32.8,8.2,49.07906558849955,2.4400269541778976,2016-08
DF,112.6,898.203669298653,1685.8532360984502,23.79939619136089,35.0,9.1,46.46586158848119,2.5608917789131445,2016-09
DF,387.6,896.3061790095411,1473.3983805668015,23.311494775102226,34.1,10.2,61.25261244888687,2.2519309404815995,2016-10
DF,613.4,895.6783309625415,1245.9936356404137,21.96917970602181,31.2,15.4,75.96443812233287,2.223944997629208,2016-11
DF,491.0,896.2445755787562,1534.467741935484,22.27359346642468,32.3,15.1,72.26950998185119,2.316522923286428,2016-12
DF,458.4,896.6001351960342,1520.3890675241155,22.41311401532221,33.3,13.6,71.66876971608833,1.8639477242000904,2017-01
DF,901.8,896.8888797023565,1447.2391629297458,21.69458453906573,31.3,14.4,77.362546506821,2.1815325010761946,2017-02
DF,616.4,897.1365886741268,1534.8129675810474,22.32970498474059,32.6,12.6,74.2380467955239,1.775329868052779,2017-03
DF,151.6,897.927568134172,1549.766323024055,22.40013976240392,31.2,13.5,71.98637316561845,2.0718572587185724,2017-04
DF,163.6,898.9843349088454,1374.349227669577,20.95918298446995,30.8,10.2,70.51755570560432,2.039162727886563,2017-05
DF,0.0,900.5125087351502,1446.4008409250175,19.683857442348007,30.2,10.2,63.18238993710692,2.4842767295597485,2017-06
DF,0.0,902.102793982192,1565.389331698345,17.643782622044828,28.3,7.4,54.91280319312251,3.2229659195578755,2017-07
DF,0.0,897.193400730132,1753.088285229202,21.93859550561797,32.9,5.7,40.69736842105263,2.5921348314606742,2017-08
DF,59.6,897.9716569767442,1823.3122827346465,22.12940496822646,32.6,11.0,41.37814397224631,3.4021374927787407,2017-09
DF,143.4,894.5663948256469,1710.296278158668,24.987373453318337,37.3,12.2,43.89784335981839,2.820022497187852,2017-10
DF,1511.6,893.8107977207977,1258.2755980861243,21.864881800056967,32.1,11.6,76.45669515669516,2.2662767475035666,2017-11
DF,1219.0,893.8872681281618,1284.9911214953272,21.77296233839236,33.1,15.2,78.88235294117646,2.005623402442488,2017-12
DF,660.8,894.9932896890343,1587.734496124031,22.0278777959629,33.1,11.9,73.02454991816694,2.0200545702592088,2018-01
DF,900.2,894.330856460758,1537.19520174482,21.744046553267683,30.5,13.6,78.18740674425544,2.133422858848105,2018-02
DF,1088.8,894.8191280653951,1453.157894736842,22.140190735694823,32.4,14.3,78.1700272479564,1.8502179836512265,2018-03
DF,537.2,896.8073950514319,1295.6417171161254,20.84854045037531,31.3,12.7,77.90853489018626,2.198192938559911,2018-04
DF,108.6,897.9423586691912,1518.903804347826,19.934757911820395,29.3,9.2,67.46172572355964,2.33897754936435,2018-05
DF,0.0,898.9757524134016,1459.7000579038795,19.65684270300965,29.8,6.8,60.097671777399206,2.2178074410678783,2018-06
DF,0.0,898.8326344086021,1568.2155913978495,19.58185483870968,30.4,7.0,53.12311827956989,2.3111559139784945,2018-07
DF,112.2,898.2182795698925,1556.965975544923,21.79575268817204,32.7,8.1,50.903737563861256,2.353724119386932,2018-08
DF,216.2,895.4434806783431,1797.45232936078,23.465471226021684,35.7,9.1,46.00222593210907,2.313709677419355,2018-09
DF,954.0,894.7205169628432,1355.92,23.33599892299408,34.5,14.3,67.96520097113569,1.9825969827586205,2018-10
DF,1775.8,894.5188409854422,1200.409820585458,21.276791713325867,31.5,14.1,81.66657334826428,2.06422969187675,2018-11
DF,833.4,895.4746630727763,1439.0041417395305,21.95946091644205,33.8,12.1,74.81975175391257,2.100161855948206,2018-12
DF,429.6,896.9296441580275,1749.8968674698797,22.979798262818715,33.6,13.4,67.57351700871521,2.0945347533632286,2019-01
DF,905.2,895.3081468218443,1501.4311279826463,22.49618024470308,34.2,14.6,76.57326555023923,1.856,2019-02
DF,1130.0,896.0398218142549,1339.1656804733727,21.98787796976242,32.7,14.9,80.16211096075779,1.8778108108108107,2019-03
DF,1136.0,896.106477620239,1343.5795454545455,21.833138726716708,30.6,14.8,80.02895322939867,1.5654156241312205,2019-04
DF,374.6,896.7347043010753,1433.0090811965813,21.44067204301076,30.1,10.9,73.36586021505376,1.7988440860215054,2019-05
DF,12.8,899.3772992497916,1487.4843049327353,19.56676854681856,29.8,9.1,64.55126424006669,2.435901001112347,2019-06
DF,0.2,898.9413172043011,1558.1878035617915,19.212231182795698,31.1,5.7,54.95887096774194,2.473392520850148,2019-07
DF,0.0,899.459158751696,1631.506107275624,21.641519674355497,32.6,8.9,46.94789687924016,2.7363907734056987,2019-08
DF,22.0,896.7360770089286,1817.0569239189929,24.63060825892857,36.2,10.1,39.77037661607645,2.6253348214285714,2019-09
DF,361.0,894.8731081081081,1619.3132880698352,24.45610810810811,36.0,12.4,52.78437244759053,2.258450704225352,2019-10
DF,1038.6,893.8942194917621,1417.6981312889316,22.997905612957275,34.9,13.9,70.49169248099128,2.012079596412556,2019-11
DF,1230.4,894.7850779510022,1458.7566932832317,22.75055679287305,32.7,14.3,74.25811870100785,2.0376218323586746,2019-12
DF,1972.2,894.504601722282,1396.033985102421,22.42914424111948,33.3,13.7,79.41752298539751,2.150471063257066,2020-01
DF,1647.8,895.6454912129069,1367.0755995828988,21.928694900605013,32.4,15.9,81.60139049826188,1.807035755478662,2020-02
DF,1656.2,895.2833704115684,1369.568295114656,21.917074527252502,32.7,14.9,80.86581291759465,2.008317107093185,2020-03
DF,1075.6,896.8105820105819,1357.061310782241,21.616736285157337,32.6,12.7,79.3164521544488,1.991060985797828,2020-04
DF,123.6,897.9020458265139,1420.4045185583648,19.6201854882706,29.8,6.0,73.26357435197818,1.9514597544338337,2020-05
DF,0.0,898.7189444444444,1438.6494444444445,19.40361111111111,29.4,6.7,66.455,2.165611111111111,2020-06
DF,0.0,898.4885184189297,1583.5835572272972,19.31621403603119,29.4,6.2,55.96827104060231,2.354154342565206,2020-07
DF,0.0,897.960254284135,1700.0367412140574,20.714676616915423,33.2,6.5,50.04982009410463,2.742592592592593,2020-08
DF,158.4,897.019932998325,1857.881236442516,23.58682300390843,35.6,9.9,41.28833662807117,2.569849246231156,2020-09
DF,777.8,894.8908815426997,1416.568281938326,23.94628099173553,37.8,11.0,60.181102362204726,2.2707310344827585,2020-10
DF,874.4,894.729678154372,1439.9818961410194,21.98459128453432,31.6,13.1,74.49271636675236,2.1933485583785326,2020-11
DF,1089.8,894.5785281146638,1504.8361111111112,22.62494487320838,32.9,12.8,72.0440931780366,1.8328176795580111,2020-12
DF,778.2,894.5202542372882,1643.2844356041771,22.406523580909347,32.4,12.4,72.22465831435079,1.869032805429864,2021-01
